縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數_統計,假日夜間停留人數_統計,資料時間_統計
67000,臺南市,67000280,歸仁區,66030,64078,109Y11M
67000,臺南市,67000290,關廟區,29618,30305,109Y11M
67000,臺南市,67000300,龍崎區,1664,1755,109Y11M
67000,臺南市,67000310,永康區,280816,274486,109Y11M
67000,臺南市,67000320,東區,177707,177038,109Y11M
67000,臺南市,67000330,南區,110565,111202,109Y11M
67000,臺南市,67000340,北區,132392,132863,109Y11M
67000,臺南市,67000350,安南區,177012,178012,109Y11M
67000,臺南市,67000360,安平區,64930,66256,109Y11M
67000,臺南市,67000370,中西區,78975,82160,109Y11M
64000,高雄市,64000010,鹽埕區,21320,21893,109Y11M
64000,高雄市,64000020,鼓山區,133197,133224,109Y11M
64000,高雄市,64000030,左營區,189101,188083,109Y11M
64000,高雄市,64000040,楠梓區,187386,185341,109Y11M
64000,高雄市,64000050,三民區,315169,311897,109Y11M
64000,高雄市,64000060,新興區,53511,54543,109Y11M
64000,高雄市,64000070,前金區,32269,33056,109Y11M
64000,高雄市,64000080,苓雅區,150111,150830,109Y11M
64000,高雄市,64000090,前鎮區,173373,174738,109Y11M
64000,高雄市,64000100,旗津區,16331,16649,109Y11M
64000,高雄市,64000110,小港區,132172,130848,109Y11M
64000,高雄市,64000120,鳳山區,309643,307589,109Y11M
64000,高雄市,64000130,林園區,49572,50407,109Y11M
64000,高雄市,64000140,大寮區,117164,116115,109Y11M
64000,高雄市,64000150,大樹區,41802,40592,109Y11M
64000,高雄市,64000160,大社區,42449,42145,109Y11M
64000,高雄市,64000170,仁武區,100102,100529,109Y11M
64000,高雄市,64000180,鳥松區,55856,55308,109Y11M
64000,高雄市,64000190,岡山區,98634,97509,109Y11M
64000,高雄市,64000200,橋頭區,40164,40611,109Y11M
64000,高雄市,64000210,燕巢區,44153,41171,109Y11M
64000,高雄市,64000220,田寮區,4152,4486,109Y11M
64000,高雄市,64000230,阿蓮區,24453,24826,109Y11M
64000,高雄市,64000240,路竹區,51149,50630,109Y11M
64000,高雄市,64000250,湖內區,30824,30967,109Y11M
64000,高雄市,64000260,茄萣區,22673,23384,109Y11M
64000,高雄市,64000270,永安區,11197,11085,109Y11M
64000,高雄市,64000280,彌陀區,13399,13777,109Y11M
64000,高雄市,64000290,梓官區,29012,29759,109Y11M
64000,高雄市,64000300,旗山區,30530,31190,109Y11M
64000,高雄市,64000310,美濃區,23519,26246,109Y11M
64000,高雄市,64000320,六龜區,8807,10852,109Y11M
64000,高雄市,64000330,甲仙區,3295,3591,109Y11M
64000,高雄市,64000340,杉林區,6057,6601,109Y11M
64000,高雄市,64000350,內門區,9633,9716,109Y11M
64000,高雄市,64000360,茂林區,930,1209,109Y11M
64000,高雄市,64000370,桃源區,2129,2626,109Y11M
64000,高雄市,64000380,那瑪夏區,1453,1625,109Y11M
10002,宜蘭縣,10002010,宜蘭市,96473,99018,109Y11M
10002,宜蘭縣,10002020,羅東鎮,65083,68452,109Y11M
10002,宜蘭縣,10002030,蘇澳鎮,36296,37905,109Y11M
10002,宜蘭縣,10002040,頭城鎮,23099,25414,109Y11M
10002,宜蘭縣,10002050,礁溪鄉,40592,47454,109Y11M
10002,宜蘭縣,10002060,壯圍鄉,19645,20766,109Y11M
10002,宜蘭縣,10002070,員山鄉,30487,31834,109Y11M
10002,宜蘭縣,10002080,冬山鄉,50045,52986,109Y11M
10002,宜蘭縣,10002090,五結鄉,48227,50506,109Y11M
10002,宜蘭縣,10002100,三星鄉,21033,21310,109Y11M
10002,宜蘭縣,10002110,大同鄉,5691,7332,109Y11M
10002,宜蘭縣,10002120,南澳鄉,4532,5100,109Y11M
10004,新竹縣,10004010,竹北市,227031,226079,109Y11M
10004,新竹縣,10004020,竹東鎮,100364,101361,109Y11M
10004,新竹縣,10004030,新埔鎮,35252,35838,109Y11M
10004,新竹縣,10004040,關西鎮,25604,26056,109Y11M
10004,新竹縣,10004050,湖口鄉,117065,113412,109Y11M
10004,新竹縣,10004060,新豐鄉,67050,67019,109Y11M
10004,新竹縣,10004070,芎林鄉,19716,20138,109Y11M
10004,新竹縣,10004080,橫山鄉,11230,12224,109Y11M
10004,新竹縣,10004090,北埔鄉,7040,8022,109Y11M
10004,新竹縣,10004100,寶山鄉,33049,29931,109Y11M
10004,新竹縣,10004110,峨眉鄉,3774,4211,109Y11M
10004,新竹縣,10004120,尖石鄉,5756,9202,109Y11M
10004,新竹縣,10004130,五峰鄉,3077,5029,109Y11M
10005,苗栗縣,10005010,苗栗市,86555,86534,109Y11M
10005,苗栗縣,10005020,苑裡鎮,38449,39894,109Y11M
10005,苗栗縣,10005030,通霄鎮,23771,25448,109Y11M
10005,苗栗縣,10005040,竹南鎮,101747,100265,109Y11M
10005,苗栗縣,10005050,頭份市,101710,101685,109Y11M
10005,苗栗縣,10005060,後龍鎮,30538,30541,109Y11M
10005,苗栗縣,10005070,卓蘭鎮,11458,12615,109Y11M
10005,苗栗縣,10005080,大湖鄉,9862,11293,109Y11M
10005,苗栗縣,10005090,公館鄉,26499,28060,109Y11M
10005,苗栗縣,10005100,銅鑼鄉,17627,18388,109Y11M
10005,苗栗縣,10005110,南庄鄉,6734,9399,109Y11M
10005,苗栗縣,10005120,頭屋鄉,7774,8280,109Y11M
10005,苗栗縣,10005130,三義鄉,14455,15381,109Y11M
10005,苗栗縣,10005140,西湖鄉,4277,4474,109Y11M
10005,苗栗縣,10005150,造橋鄉,12480,12600,109Y11M
10005,苗栗縣,10005160,三灣鄉,5137,5661,109Y11M
10005,苗栗縣,10005170,獅潭鄉,2709,3449,109Y11M
10005,苗栗縣,10005180,泰安鄉,3682,5964,109Y11M
10007,彰化縣,10007010,彰化市,214161,213353,109Y11M
10007,彰化縣,10007020,鹿港鎮,80583,81125,109Y11M
10007,彰化縣,10007030,和美鎮,83456,84381,109Y11M
10007,彰化縣,10007040,線西鄉,14662,14527,109Y11M
10007,彰化縣,10007050,伸港鄉,31027,31428,109Y11M
10007,彰化縣,10007060,福興鄉,38756,39152,109Y11M
10007,彰化縣,10007070,秀水鄉,32134,32549,109Y11M
10007,彰化縣,10007080,花壇鄉,42269,43161,109Y11M
10007,彰化縣,10007090,芬園鄉,16521,17126,109Y11M
10007,彰化縣,10007100,員林市,104870,108214,109Y11M
10007,彰化縣,10007110,溪湖鎮,44624,45986,109Y11M
10007,彰化縣,10007120,田中鎮,29351,30952,109Y11M
10007,彰化縣,10007130,大村鄉,40503,39600,109Y11M
10007,彰化縣,10007140,埔鹽鄉,23642,24902,109Y11M
10007,彰化縣,10007150,埔心鄉,30359,31291,109Y11M
10007,彰化縣,10007160,永靖鄉,26003,27331,109Y11M
10007,彰化縣,10007170,社頭鄉,30885,32537,109Y11M
