COUNTY_ID,COUNTY,TOWN_ID,TOWN,DAY_WORK(7:00~13:00),DAY_WORK(13:00~19:00),DAY_WORK,DAY_WEEKEND(7:00~13:00),DAY_WEEKEND(13:00~19:00),DAY_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日上午活動人數,平日下午活動人數,平日日間活動人數,假日上午活動人數,假日下午活動人數,假日日間活動人數,資料時間
66000,臺中市,66000200,石岡區,9795,9609,9697,12617,12474,12510,109Y11M
66000,臺中市,66000210,外埔區,22887,22605,22752,25736,25295,25692,109Y11M
66000,臺中市,66000220,大安區,12618,12696,12661,14592,14689,14718,109Y11M
66000,臺中市,66000230,烏日區,103156,102146,102761,90705,89143,90332,109Y11M
66000,臺中市,66000240,大肚區,45615,44950,45261,50591,48493,50127,109Y11M
66000,臺中市,66000250,龍井區,78735,76305,77790,83424,80107,82941,109Y11M
66000,臺中市,66000260,霧峰區,89972,89907,90023,78683,77657,78490,109Y11M
66000,臺中市,66000270,太平區,168567,164998,167068,182069,175235,180904,109Y11M
66000,臺中市,66000280,大里區,183927,180985,182106,188289,182899,187144,109Y11M
66000,臺中市,66000290,和平區,17796,17921,17603,30445,29393,28798,109Y11M
67000,臺南市,67000010,新營區,69997,69938,70101,68879,68236,68748,109Y11M
67000,臺南市,67000020,鹽水區,18702,18577,18630,21033,21072,20932,109Y11M
67000,臺南市,67000030,白河區,22094,21813,21783,25951,26211,25339,109Y11M
67000,臺南市,67000040,柳營區,25538,25020,25114,22390,22369,22174,109Y11M
67000,臺南市,67000050,後壁區,24554,24552,24424,26306,26567,26278,109Y11M
67000,臺南市,67000060,東山區,11727,12019,11789,15200,15378,14939,109Y11M
67000,臺南市,67000070,麻豆區,39572,39510,39334,41480,41291,41267,109Y11M
67000,臺南市,67000080,下營區,12333,12625,12502,16322,16724,16410,109Y11M
67000,臺南市,67000090,六甲區,12773,12870,12694,16511,16427,16372,109Y11M
67000,臺南市,67000100,官田區,28596,29018,29006,23951,24002,23870,109Y11M
67000,臺南市,67000110,大內區,6519,6706,6677,8445,8573,8373,109Y11M
67000,臺南市,67000120,佳里區,44317,44651,44339,48956,49162,49283,109Y11M
67000,臺南市,67000130,學甲區,17206,16917,17001,19795,20137,19891,109Y11M
67000,臺南市,67000140,西港區,20489,20632,20556,20908,20626,20797,109Y11M
67000,臺南市,67000150,七股區,13293,12956,13042,15750,15862,15425,109Y11M
67000,臺南市,67000160,將軍區,10732,10680,10772,12942,13095,12977,109Y11M
67000,臺南市,67000170,北門區,8485,8349,8379,11205,10870,10576,109Y11M
67000,臺南市,67000180,新化區,34837,34347,34344,38443,36914,37518,109Y11M
67000,臺南市,67000190,善化區,80119,79408,79957,67566,65493,67334,109Y11M
67000,臺南市,67000200,新市區,96960,96416,96842,65676,64778,65432,109Y11M
67000,臺南市,67000210,安定區,38956,38878,39074,31413,31187,31632,109Y11M
67000,臺南市,67000220,山上區,7593,7493,7510,6965,6971,6891,109Y11M
67000,臺南市,67000230,玉井區,9837,9761,9802,11306,11628,11341,109Y11M
67000,臺南市,67000240,楠西區,6102,6128,6065,7823,8175,7757,109Y11M
67000,臺南市,67000250,南化區,4354,4286,4290,5995,5822,5813,109Y11M
67000,臺南市,67000260,左鎮區,2501,2594,2512,3752,3911,3705,109Y11M
67000,臺南市,67000270,仁德區,109454,107678,108963,93003,92603,92992,109Y11M
67000,臺南市,67000280,歸仁區,65664,66096,65994,63563,63295,63810,109Y11M
67000,臺南市,67000290,關廟區,28036,27871,27924,31068,30389,30829,109Y11M
67000,臺南市,67000300,龍崎區,1916,1813,1837,2651,2780,2519,109Y11M
67000,臺南市,67000310,永康區,275527,271962,273869,265738,257139,263650,109Y11M
67000,臺南市,67000320,東區,161167,163570,161978,172730,174324,173192,109Y11M
67000,臺南市,67000330,南區,103789,101229,102349,107665,103259,106093,109Y11M
67000,臺南市,67000340,北區,115413,114756,114545,127561,122345,125293,109Y11M
67000,臺南市,67000350,安南區,166484,163859,165154,171204,164888,169946,109Y11M
67000,臺南市,67000360,安平區,60808,60142,60384,65350,64038,64551,109Y11M
67000,臺南市,67000370,中西區,92870,101485,97349,88186,106295,93612,109Y11M
64000,高雄市,64000010,鹽埕區,21222,20912,21051,22075,22838,21926,109Y11M
64000,高雄市,64000020,鼓山區,121867,120709,121339,130200,127033,129743,109Y11M
